name,span,matches,innings,overs,maiden_overs,runs_conceded,wickets,best_bowling_figure,average,economy_rate,bowling_strike_rate,four_wickets_haul,five_wickets_haul
M Muralidaran (Asia/ICC/SL),1993-2011,350,341,3135.1,198,12326,534,7/30,23.08,3.93,35.2,15,10
Waqar Younis (PAK),1990-2003,250,247,2039.2,134,9608,404,7/36,23.78,4.71,30.2,14,13
WPUJC Vaas (Asia/SL),1994-2008,322,320,2629.1,279,11014,400,8/19,27.53,4.18,39.4,9,4
Shahid Afridi (Asia/ICC/PAK),1996-2015,398,372,2945.0,76,13632,395,7/12,34.51,4.62,44.7,4,9
SM Pollock (Afr/ICC/SA),1996-2008,303,297,2618.4,313,9631,393,6/35,24.50,3.67,39.9,12,5
Wasim Akram (PAK),1990-2003,270,268,2327.5,178,9111,385,5/15,23.66,3.91,36.2,14,4
GD McGrath (AUS/ICC),1993-2007,250,248,2161.4,279,8391,381,7/15,22.02,3.88,34.0,9,7
B Lee (AUS),2000-2012,221,217,1864.1,141,8877,380,5/22,23.36,4.76,29.4,14,9
SL Malinga (SL),2004-2019,226,220,1822.4,103,9760,338,6/38,28.87,5.35,32.3,11,8
A Kumble (Asia/IND),1990-2007,271,265,2416.0,109,10412,337,6/12,30.89,4.30,43.0,8,2
ST Jayasuriya (Asia/SL),1990-2011,442,368,2479.0,45,11871,323,6/29,36.75,4.78,46.0,8,4
Shakib Al Hasan (BAN),2006-2023,247,241,2095.5,101,9360,317,5/29,29.52,4.46,39.6,10,4
J Srinath (IND),1991-2003,229,227,1989.1,137,8847,315,5/23,28.08,4.44,37.8,7,3
DL Vettori (ICC/NZ),1997-2015,295,277,2343.2,99,9674,305,5/7,31.71,4.12,46.0,8,2
SK Warne (AUS/ICC),1993-2005,194,191,1773.4,110,7541,293,5/33,25.73,4.25,36.3,12,1
AB Agarkar (IND),1998-2007,191,188,1580.4,100,8021,288,6/42,27.85,5.07,32.9,10,2
Saqlain Mushtaq (PAK),1995-2003,169,165,1461.4,66,6275,288,5/20,21.78,4.29,30.4,11,6
Z Khan (Asia/IND),2000-2012,200,197,1682.5,117,8301,282,5/42,29.43,4.93,35.8,7,1
JH Kallis (Afr/ICC/SA),1996-2014,328,283,1791.4,79,8680,273,5/30,31.79,4.84,39.3,2,2
AA Donald (SA),1991-2003,164,162,1426.5,101,5926,272,6/23,21.78,4.15,31.4,11,2
Mashrafe Mortaza (Asia/BAN),2001-2020,220,220,1820.2,123,8893,270,6/26,32.93,4.88,40.4,7,1
Abdul Razzaq (Asia/PAK),1996-2011,265,254,1823.3,107,8564,269,6/35,31.83,4.69,40.6,8,3
JM Anderson (ENG),2002-2015,194,191,1597.2,125,7861,269,5/23,29.22,4.92,35.6,11,2
Harbhajan Singh (Asia/IND),1998-2015,236,227,2079.5,83,8973,269,5/31,33.35,4.31,46.3,2,3
M Ntini (ICC/SA),1998-2009,173,171,1447.5,123,6559,266,6/22,24.65,4.53,32.6,8,4
Shoaib Akhtar (Asia/ICC/PAK),1998-2011,163,162,1294.0,99,6169,247,6/16,24.97,4.76,31.4,6,4
KD Mills (NZ),2001-2015,170,169,1371.4,127,6485,240,5/25,27.02,4.72,34.2,8,1
MG Johnson (AUS),2005-2015,153,150,1248.1,74,6038,239,6/31,25.26,4.83,31.3,9,3
HH Streak (Afr/ZIM),1993-2005,189,185,1578.0,114,7129,239,5/32,29.82,4.51,39.6,7,1
MA Starc (AUS),2010-2023,121,121,1040.0,50,5420,236,6/28,22.96,5.21,26.4,12,9
D Gough (ENG/ICC),1994-2006,159,156,1411.4,120,6209,235,5/44,26.42,4.39,36.0,10,2
TG Southee (NZ),2008-2023,161,159,1345.5,80,7448,221,7/33,33.70,5.53,36.5,5,3
RA Jadeja (IND),2009-2023,197,189,1625.0,56,7936,220,5/33,36.07,4.88,44.3,7,2
TA Boult (NZ),2012-2023,114,113,1030.0,76,5146,211,7/34,24.38,4.99,29.2,10,6
Abdur Razzak (BAN),2004-2014,153,152,1327.3,70,6065,207,5/29,29.29,4.56,38.4,5,4
CZ Harris (NZ),1990-2004,250,232,1777.5,82,7613,203,5/42,37.50,4.28,52.5,2,1
CL Cairns (ICC/NZ),1991-2006,215,186,1361.2,80,6594,201,5/42,32.80,4.84,40.6,3,1
DJ Bravo (WI),2004-2014,164,150,1085.1,38,5874,199,6/43,29.51,5.41,32.7,6,1
KMDN Kulasekara (SL),2003-2017,184,181,1377.1,106,6751,199,5/22,33.92,4.90,41.5,4,1
AU Rashid (ENG),2009-2023,135,129,1131.3,12,6377,199,5/27,32.04,5.63,34.1,8,2
BKV Prasad (IND),1994-2001,161,160,1354.5,79,6332,196,5/27,32.30,4.67,41.4,3,1
DW Steyn (Afr/SA),2005-2019,125,124,1042.4,71,5087,196,6/39,25.95,4.87,31.9,4,3
Mohammed Shami (IND),2013-2023,101,100,830.5,51,4618,195,7/57,23.68,5.55,25.5,10,5
L Klusener (SA),1996-2004,171,164,1222.4,46,5751,192,6/49,29.95,4.70,38.2,1,6
M Morkel (Afr/SA),2007-2018,117,114,960.0,47,4761,188,5/21,25.32,4.95,30.6,7,2
CRD Fernando (Asia/SL),2001-2012,147,141,1084.3,53,5648,187,6/27,30.20,5.20,34.7,3,1
Saeed Ajmal (PAK),2008-2015,113,112,1000.0,50,4182,184,5/24,22.72,4.18,32.6,6,2
Rashid Khan (AFG),2015-2023,103,98,883.2,32,3748,183,7/18,20.48,4.24,28.9,6,4
Umar Gul (PAK),2003-2016,130,128,1010.4,68,5253,179,6/42,29.34,5.19,33.8,4,2
SCJ Broad (ENG),2006-2016,121,121,1018.1,56,5364,178,5/23,30.13,5.26,34.3,9,1
NLTC Perera (SL),2009-2021,166,157,983.2,28,5740,175,6/44,32.80,5.83,33.7,5,4
NW Bracken (AUS),2001-2009,116,116,959.5,90,4240,174,5/47,24.36,4.41,33.0,5,2
Imran Tahir (SA),2011-2019,107,104,923.3,38,4297,173,7/45,24.83,4.65,32.0,7,3
JDP Oram (NZ),2001-2012,160,154,1151.5,93,5047,173,5/26,29.17,4.38,39.9,3,2
IK Pathan (IND),2004-2012,120,118,975.5,53,5142,173,5/27,29.72,5.26,33.8,5,2
CR Woakes (ENG),2011-2023,122,118,956.1,52,5193,173,6/45,30.01,5.43,33.1,11,3
A Flintoff (ENG/ICC),1999-2009,141,119,937.2,67,4121,169,5/19,24.38,4.39,33.2,6,2
Mohammad Nabi (AFG),2009-2024,161,156,1266.2,50,5410,169,5/17,32.01,4.27,44.9,4,1
A Zampa (AUS),2016-2024,99,99,866.3,14,4742,169,5/35,28.05,5.47,30.7,11,1
Kuldeep Yadav (IND),2017-2023,103,100,864.5,29,4370,168,6/25,26.01,5.05,30.8,7,2
SR Watson (AUS),2002-2015,190,163,1077.4,35,5342,168,4/36,31.79,4.95,38.4,3,0
CH Gayle (ICC/WI),1999-2019,301,199,1237.2,38,5926,167,5/46,35.48,4.78,44.4,3,1
CEL Ambrose (WI),1990-2000,141,140,1240.0,156,4259,164,5/32,25.96,3.43,45.3,3,2
Mustafizur Rahman (BAN),2015-2024,104,103,833.5,35,4307,164,6/43,26.26,5.16,30.5,5,5
CL Hooper (WI),1990-2003,188,172,1413.3,49,6084,163,4/34,37.32,4.30,52.0,3,0
JO Holder (WI),2013-2023,138,134,1067.0,64,5878,159,5/27,36.96,5.50,40.2,5,2
Aaqib Javed (PAK),1990-1998,140,137,1144.1,85,4927,158,7/37,31.18,4.30,43.4,2,4
Shoaib Malik (PAK),1999-2019,287,217,1326.2,38,6192,158,4/19,39.18,4.66,50.3,1,0
A Nehra (Asia/IND),2001-2011,120,120,958.3,55,4981,157,6/23,31.72,5.19,36.6,5,2
K Rabada (SA),2015-2023,101,99,861.5,60,4361,157,6/16,27.77,5.06,32.9,6,2
R Ashwin (IND),2010-2023,116,114,1050.3,37,5180,156,4/25,33.20,4.93,40.4,1,0
GB Hogg (AUS),1996-2008,123,113,927.2,37,4188,156,5/32,26.84,4.51,35.6,3,2
SR Tendulkar (IND),1990-2012,462,270,1342.2,24,6850,154,5/32,44.48,5.10,52.2,4,2
BAW Mendis (SL),2008-2015,87,84,692.2,34,3324,152,6/13,21.86,4.80,27.3,7,3
UDU Chandana (SL),1994-2007,147,136,1023.4,20,4818,151,5/61,31.90,4.70,40.6,4,1
JJ Bumrah (IND),2016-2023,89,88,763.2,57,3509,149,6/19,23.55,4.59,30.7,6,2
Mushtaq Ahmed (PAK),1990-2003,132,130,1159.4,45,4906,149,5/36,32.92,4.23,46.6,3,1
SE Bond (NZ),2002-2010,82,80,715.5,88,3070,147,6/19,20.88,4.28,29.2,7,4
TM Odoyo (Afr/KENYA),1996-2014,136,129,941.3,77,4335,145,4/25,29.89,4.60,38.9,5,0
JN Gillespie (AUS),1996-2005,97,96,857.2,79,3611,142,5/22,25.42,4.21,36.2,3,3
PJ Cummins (AUS),2011-2023,88,88,763.5,44,4042,141,5/70,28.66,5.29,32.5,6,1
MJ Henry (NZ),2014-2023,82,80,712.5,54,3722,141,5/30,26.39,5.22,30.3,10,2
B Kumar (IND),2012-2022,121,120,974.3,68,4951,141,5/42,35.11,5.08,41.4,4,1
Mohammad Hafeez (PAK),2003-2019,218,177,1288.5,48,5400,139,4/41,38.84,4.18,55.6,1,0
HDPK Dharmasena (SL),1994-2004,141,134,1168.1,40,4998,138,4/37,36.21,4.27,50.7,1,0
SB Styris (NZ),1999-2011,188,161,1019.0,39,4839,137,6/25,35.32,4.74,44.6,4,1
JR Hazlewood (AUS),2010-2024,86,85,752.3,58,3556,135,6/52,26.34,4.72,33.4,1,3
MF Maharoof (SL),2004-2016,109,105,773.2,50,3789,135,6/14,28.06,4.89,34.3,4,2
LE Plunkett (ENG),2005-2019,89,87,689.3,14,4010,135,5/52,29.70,5.81,30.6,6,1
DW Fleming (AUS),1994-2001,88,88,769.5,62,3402,134,5/36,25.38,4.41,34.4,4,1
A Symonds (AUS),1998-2009,198,158,989.1,30,4955,133,5/18,37.25,5.00,44.6,2,1
P Utseya (ZIM),2004-2015,164,160,1428.3,65,6239,133,5/36,46.90,4.36,64.4,2,1
M Dillon (WI),1997-2005,108,107,913.2,70,4218,130,5/29,32.44,4.61,42.1,3,3
CA Walsh (WI),1990-2000,122,121,1052.1,125,4060,130,4/16,31.23,3.85,48.5,2,0
Rubel Hossain (BAN),2009-2021,104,102,779.4,29,4427,129,6/26,34.31,5.67,36.2,7,1
JE Taylor (WI),2003-2017,90,88,723.3,35,3780,128,5/48,29.53,5.22,33.9,3,1
AD Mathews (SL),2008-2023,226,163,887.2,56,4110,126,6/20,32.61,4.63,42.2,2,1
M Prabhakar (IND),1990-1996,95,93,804.0,52,3551,126,5/33,28.18,4.41,38.2,3,2
Mohammad Rafique (Asia/BAN),1995-2007,125,124,1069.0,63,4739,125,5/47,37.91,4.43,51.3,3,1
KAJ Roach (WI),2008-2022,95,93,763.1,53,3885,125,6/27,31.08,5.09,36.6,3,3
Azhar Mahmood (PAK),1996-2007,143,139,1040.2,58,4813,123,6/18,39.13,4.62,50.7,2,3
YS Chahal (IND),2016-2023,72,69,623.1,14,3283,121,6/42,27.13,5.26,30.9,5,2
Mohammad Sami (PAK),2001-2015,87,85,714.0,42,3567,121,5/10,29.47,4.99,35.4,3,1
Wahab Riaz (PAK),2008-2020,91,90,721.1,20,4117,120,5/46,34.30,5.70,36.0,5,1
AG Cremer (ZIM),2009-2018,96,95,780.0,28,3597,119,6/46,30.22,4.61,39.3,4,3
R Rampaul (WI),2003-2015,92,88,672.1,33,3434,117,5/49,29.35,5.10,34.4,8,2
TL Chatara (ZIM),2013-2023,87,87,709.0,55,3752,115,4/33,32.62,5.29,36.9,1,0
Dawlat Zadran (AFG),2011-2019,82,80,628.1,42,3423,115,4/22,29.76,5.44,32.7,3,0
I Sharma (IND),2007-2016,80,78,622.1,29,3563,115,4/34,30.98,5.72,32.4,6,0
WJ Cronje (SA),1992-2000,188,153,892.5,33,3966,114,5/32,34.78,4.44,46.9,1,1
KJ O'Brien (IRE),2006-2021,153,116,716.0,30,3726,114,4/13,32.68,5.20,37.6,5,0
GR Larsen (NZ),1990-1999,121,119,1061.2,90,4000,113,4/24,35.39,3.76,56.3,1,0
CJ McDermott (AUS),1990-1996,74,74,660.0,66,2433,113,4/34,21.53,3.68,35.0,2,0
S Lamichhane (NEP),2018-2023,51,50,462.2,28,2023,112,6/11,18.06,4.37,24.7,8,3
MM Ali (ENG),2014-2023,138,128,998.0,13,5311,111,4/46,47.84,5.32,53.9,2,0
PD Collingwood (ENG),2001-2011,197,151,864.2,14,4294,111,6/31,38.68,4.96,46.7,3,1
AS Joseph (WI),2016-2024,68,67,577.2,23,3158,111,5/56,28.45,5.46,31.2,4,1
SR Waugh (AUS),1990-2002,245,135,909.2,35,4187,111,4/40,37.72,4.60,49.1,1,0
Yuvraj Singh (Asia/IND),2000-2017,304,161,841.2,18,4294,111,5/31,38.68,5.10,45.4,2,1
Junaid Khan (PAK),2011-2019,76,76,600.1,33,3216,110,4/12,29.23,5.35,32.7,4,0
Naved-ul-Hasan (PAK),2003-2010,74,72,577.4,25,3221,110,6/27,29.28,5.57,31.5,6,1
DR Tuffey (NZ),2000-2010,94,92,722.1,70,3534,110,4/24,32.12,4.89,39.3,2,0
TT Bresnan (ENG),2006-2015,85,84,703.3,35,3813,109,5/48,34.98,5.42,38.7,3,1
RAS Lakmal (SL),2009-2021,86,84,646.5,36,3534,109,4/13,32.42,5.46,35.6,3,0
GP Wickramasinghe (SL),1990-2002,134,132,953.2,49,4321,109,4/48,39.64,4.53,52.4,1,0
DNT Zoysa (SL),1997-2007,95,93,709.5,61,3213,108,5/26,29.75,4.52,39.4,2,1
MJ Santner (NZ),2015-2023,104,99,812.3,18,3960,107,5/50,37.00,4.87,45.5,0,2
TM Dilshan (SL),1999-2016,330,204,980.0,22,4778,106,4/4,45.07,4.87,55.4,3,0
GH Dockrell (IRE),2010-2024,124,105,796.2,31,3870,106,4/24,36.50,4.85,45.0,4,0
Mehidy Hasan Miraz (BAN),2017-2024,97,94,765.3,34,3695,106,4/25,34.85,4.82,43.3,5,0
A Nel (SA),2001-2008,79,76,633.3,58,2935,106,5/45,27.68,4.63,35.8,3,1
WB Rankin (ENG/IRE),2007-2020,75,73,617.0,42,2955,106,4/15,27.87,4.78,34.9,4,0
PR Reiffel (AUS),1992-1999,92,92,788.4,85,3096,106,4/13,29.20,3.92,44.6,5,0
UT Yadav (IND),2010-2018,75,73,593.0,23,3565,106,4/31,33.63,6.01,33.5,4,0
GW Flower (ZIM),1992-2010,221,156,910.2,11,4225,104,4/32,40.62,4.64,52.5,2,0
DK Morrison (NZ),1990-1996,82,81,645.0,41,2846,104,5/34,27.36,4.41,37.2,0,2
Shaheen Shah Afridi (PAK),2018-2023,53,52,449.1,24,2490,104,6/35,23.94,5.54,25.9,6,3
