name,span,matches,innings,overs,maiden_overs,runs_conceded,wickets,best_bowling_figure,average,economy_rate,bowling_strike_rate,four_wickets_haul,five_wickets_haul,country
M Muralidaran,1993-2011,350,341,3135.1,198,12326,534,7/30,23.08,3.93,35.2,15,10,SL
Waqar Younis,1990-2003,250,247,2039.2,134,9608,404,7/36,23.78,4.71,30.2,14,13,PAK
WPUJC Vaas,1994-2008,322,320,2629.1,279,11014,400,8/19,27.53,4.18,39.4,9,4,SL
Shahid Afridi,1996-2015,398,372,2945.0,76,13632,395,7/12,34.51,4.62,44.7,4,9,PAK
SM Pollock,1996-2008,303,297,2618.4,313,9631,393,6/35,24.5,3.67,39.9,12,5,SA
Wasim Akram,1990-2003,270,268,2327.5,178,9111,385,5/15,23.66,3.91,36.2,14,4,PAK
GD McGrath,1993-2007,250,248,2161.4,279,8391,381,7/15,22.02,3.88,34.0,9,7,AUS
B Lee,2000-2012,221,217,1864.1,141,8877,380,5/22,23.36,4.76,29.4,14,9,AUS
SL Malinga,2004-2019,226,220,1822.4,103,9760,338,6/38,28.87,5.35,32.3,11,8,SL
A Kumble,1990-2007,271,265,2416.0,109,10412,337,6/12,30.89,4.3,43.0,8,2,IND
ST Jayasuriya,1990-2011,442,368,2479.0,45,11871,323,6/29,36.75,4.78,46.0,8,4,SL
Shakib Al Hasan,2006-2023,247,241,2095.5,101,9360,317,5/29,29.52,4.46,39.6,10,4,BAN
J Srinath,1991-2003,229,227,1989.1,137,8847,315,5/23,28.08,4.44,37.8,7,3,IND
DL Vettori,1997-2015,295,277,2343.2,99,9674,305,5/7,31.71,4.12,46.0,8,2,NZ
SK Warne,1993-2005,194,191,1773.4,110,7541,293,5/33,25.73,4.25,36.3,12,1,AUS
AB Agarkar,1998-2007,191,188,1580.4,100,8021,288,6/42,27.85,5.07,32.9,10,2,IND
Saqlain Mushtaq,1995-2003,169,165,1461.4,66,6275,288,5/20,21.78,4.29,30.4,11,6,PAK
Z Khan,2000-2012,200,197,1682.5,117,8301,282,5/42,29.43,4.93,35.8,7,1,IND
JH Kallis,1996-2014,328,283,1791.4,79,8680,273,5/30,31.79,4.84,39.3,2,2,SA
AA Donald,1991-2003,164,162,1426.5,101,5926,272,6/23,21.78,4.15,31.4,11,2,SA
Mashrafe Mortaza,2001-2020,220,220,1820.2,123,8893,270,6/26,32.93,4.88,40.4,7,1,BAN
Abdul Razzaq,1996-2011,265,254,1823.3,107,8564,269,6/35,31.83,4.69,40.6,8,3,PAK
JM Anderson,2002-2015,194,191,1597.2,125,7861,269,5/23,29.22,4.92,35.6,11,2,ENG
