name,span,matches,innings,not_outs,runs,highest_score,average,balls_faced,strike_rate,century,half_century,ducks,fours,sixes,country
V Kohli,2010-2024,117.0,109,31,4037,122,51.75,2922,138.15,1,37,5,361,117,IND
Babar Azam,2016-2024,119.0,112,14,4023,122,41.05,3091,130.15,3,36,6,432,69,PAK
RG Sharma,2007-2024,151.0,143,18,3974,121,31.79,2839,139.97,5,29,12,359,190,IND
PR Stirling,2009-2024,142.0,141,11,3589,115,27.6,2650,135.43,1,23,13,417,128,IRE
MJ Guptill,2009-2022,122.0,118,7,3531,105,31.81,2602,135.7,2,20,3,309,173,NZ
Mohammad Rizwan,2015-2024,98.0,85,20,3203,104,49.27,2499,128.17,1,28,4,273,89,PAK
AJ Finch,2011-2022,103.0,103,12,3120,172,34.28,2189,142.53,2,19,8,309,125,AUS
DA Warner,2009-2024,103.0,103,11,3099,100,33.68,2172,142.67,1,26,6,320,113,AUS
JC Buttler,2011-2024,116.0,107,21,3050,101,35.46,2096,145.51,1,23,6,278,127,ENG
KS Williamson,2011-2024,89.0,87,12,2547,95,33.96,2060,123.64,0,18,4,242,58,NZ
Mohammad Hafeez,2006-2021,119.0,108,13,2514,99,26.46,2060,122.03,0,14,7,251,76,PAK
GJ Maxwell,2012-2024,106.0,98,16,2468,145,30.09,1587,155.51,5,10,3,205,127,AUS
EJG Morgan,2009-2022,115.0,107,21,2458,91,28.58,1805,136.17,0,14,3,186,120,ENG
Shakib Al Hasan,2006-2024,122.0,120,16,2440,84,23.46,2001,121.93,0,12,8,246,52,BAN
Shoaib Malik,2006-2021,124.0,111,33,2435,75,31.21,1938,125.64,0,9,2,196,69,PAK
A Balbirnie,2015-2024,107.0,103,4,2370,83,23.93,1909,124.14,0,12,5,252,68,IRE
Q de Kock,2012-2024,83.0,82,9,2341,100,32.06,1695,138.11,1,14,6,243,90,SA
Virandeep Singh,2019-2024,78.0,77,14,2320,116,36.82,1842,125.95,1,16,5,197,101,MAS
Mahmudullah,2007-2024,131.0,120,25,2299,64,24.2,1931,119.05,0,8,5,175,71,BAN
DA Miller,2010-2023,116.0,101,34,2268,106,33.85,1569,144.55,2,6,1,150,109,World
KL Rahul,2016-2022,72.0,68,8,2265,110,37.75,1628,139.12,2,22,5,191,99,IND
SA Yadav,2021-2023,60.0,57,10,2141,117,45.55,1248,171.55,4,17,3,192,123,IND
BB McCullum,2005-2015,71.0,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91,NZ
Mohammad Nabi,2010-2024,121.0,113,21,2109,89,22.92,1520,138.75,0,6,6,145,107,AFG
RD Berrington,2008-2024,90.0,82,15,2092,100,31.22,1585,131.98,1,10,10,181,70,SCOT
AD Hales,2011-2022,75.0,75,8,2074,116,30.95,1499,138.35,1,12,5,225,70,ENG
S Ssesazi,2021-2024,78.0,76,10,2072,100,31.39,1678,123.48,1,16,7,223,67,UGA
Mohammad Shahzad,2010-2023,73.0,73,3,2048,118,29.25,1550,132.12,1,12,4,229,76,AFG
Muhammad Waseem,2021-2024,53.0,53,3,1977,112,39.54,1278,154.69,3,14,4,160,123,UAE
KJ O'Brien,2008-2021,110.0,103,10,1973,124,21.21,1507,130.92,1,5,12,165,82,IRE
Syed Aziz,2019-2024,80.0,78,13,1962,126,30.18,1377,142.48,1,15,6,188,93,MAS
Sikandar Raza,2013-2024,86.0,82,5,1947,87,25.28,1449,134.36,0,14,7,146,92,ZIM
JP Duminy,2007-2019,81.0,75,25,1934,96,38.68,1532,126.24,0,11,6,138,71,SA
LRPL Taylor,2006-2020,102.0,94,21,1909,63,26.15,1560,122.37,0,7,6,121,71,NZ
CH Gayle,2006-2021,79.0,75,7,1899,117,27.92,1381,137.5,2,14,4,158,124,WI
DJ Malan,2017-2023,62.0,60,8,1892,103,36.38,1428,132.49,1,16,2,194,62,ENG
TM Dilshan,2006-2016,80.0,79,12,1889,104,28.19,1567,120.54,1,13,10,223,33,SL
HG Munsey,2015-2024,67.0,65,4,1882,132,30.85,1310,143.66,2,11,5,221,77,SCOT
N Pooran,2016-2024,88.0,80,8,1848,82,25.66,1372,134.69,0,11,2,127,115,WI
RR Hendricks,2014-2024,59.0,58,1,1829,87,32.08,1375,133.01,0,15,2,207,42,SA
GD Phillips,2017-2024,74.0,67,12,1817,108,33.03,1268,143.29,2,10,3,130,88,NZ
Fakhar Zaman,2017-2024,88.0,80,3,1815,91,23.57,1360,133.45,0,11,6,171,74,PAK
Najibullah Zadran,2012-2024,102.0,91,32,1808,73,30.64,1305,138.54,0,8,5,126,95,AFG
Litton Das,2015-2024,82.0,80,2,1804,83,23.12,1408,128.12,0,10,5,186,54,BAN
MP O'Dowd,2015-2024,66.0,64,4,1774,133,29.56,1461,121.42,1,12,0,179,44,NED
S Dhawan,2011-2021,68.0,66,3,1759,92,27.92,1392,126.36,0,11,2,191,50,IND
Tamim Iqbal,2007-2020,78.0,78,5,1758,103,24.08,1503,116.96,1,7,6,188,45,World
CO Obuya,2007-2024,75.0,70,12,1742,96,30.03,1460,119.31,0,9,6,127,84,KENYA
C Munro,2012-2020,65.0,62,7,1724,109,31.34,1102,156.44,3,11,5,132,107,NZ
SC Williams,2006-2024,81.0,80,8,1691,66,23.48,1338,126.38,0,11,6,161,42,ZIM
Umar Akmal,2009-2019,84.0,79,14,1690,94,26.0,1377,122.73,0,8,10,122,55,PAK
Nizakat Khan,2014-2024,88.0,85,2,1679,81,20.22,1384,121.31,0,8,8,152,47,HKG
MDKJ Perera,2013-2024,66.0,65,2,1677,84,26.61,1286,130.4,0,13,3,155,55,SL
Babar Hayat,2014-2024,68.0,67,10,1676,122,29.4,1248,134.29,2,10,7,101,105,HKG
AB de Villiers,2006-2017,78.0,75,11,1672,79,26.12,1237,135.16,0,10,5,140,60,SA
H Masakadza,2006-2019,66.0,66,2,1662,93,25.96,1418,117.2,0,11,1,151,65,ZIM
DS Airee,2018-2024,64.0,56,14,1626,110,38.71,1108,146.75,1,9,0,126,68,NEP
TP Ura,2015-2024,56.0,55,8,1618,107,34.42,1037,156.02,1,14,4,122,95,PNG
MS Dhoni,2006-2019,98.0,85,42,1617,56,37.6,1282,126.13,0,2,1,116,52,IND
MN Samuels,2007-2018,67.0,65,10,1611,89,29.29,1386,116.23,0,10,0,144,69,WI
SK Raina,2006-2018,78.0,66,11,1605,101,29.18,1190,134.87,1,5,3,145,58,IND
KA Pollard,2008-2022,101.0,83,21,1569,75,25.3,1161,135.14,0,6,3,94,99,WI
JM Bairstow,2011-2024,72.0,66,14,1561,90,30.01,1133,137.77,0,10,5,137,72,ENG
BKG Mendis,2016-2024,64.0,64,2,1554,86,25.06,1145,135.72,0,14,5,128,74,SL
MS Chapman,2014-2024,75.0,67,14,1544,104,29.13,1160,133.1,1,8,3,133,57,NZ
F du Plessis,2012-2020,50.0,50,7,1528,119,35.53,1137,134.38,1,10,0,140,50,World
R Sandaruwan,2019-2024,54.0,54,2,1527,103,29.36,1046,145.98,1,9,6,132,88,KUW
LMP Simmons,2007-2021,68.0,67,10,1527,91,26.78,1264,120.8,0,9,6,140,68,WI
JJ Roy,2014-2022,64.0,64,1,1522,78,24.15,1106,137.61,0,8,7,153,69,ENG
Mushfiqur Rahim,2006-2022,102.0,93,16,1500,72,19.48,1304,115.03,0,6,8,126,37,BAN
Muhammad Tanveer,2019-2024,50.0,46,13,1499,88,45.42,1086,138.02,0,12,1,108,88,QAT
KJ Coetzer,2008-2021,70.0,68,2,1495,89,22.65,1254,119.21,0,6,4,158,48,SCOT
DPMD Jayawardene,2006-2014,55.0,55,8,1493,100,31.76,1121,133.18,1,9,4,173,33,SL
Ahmed Faiz,2019-2024,73.0,62,6,1490,105,26.6,1195,124.68,1,6,4,118,56,MAS
Ahmed Shehzad,2009-2019,59.0,59,2,1471,111,25.8,1282,114.74,1,7,2,157,33,PAK
E Lewis,2016-2022,53.0,52,3,1465,125,29.89,964,151.97,2,10,4,108,111,WI
SR Watson,2006-2016,58.0,56,6,1462,124,29.24,1006,145.32,1,10,3,115,83,AUS
CR Ervine,2010-2024,71.0,70,4,1449,70,21.95,1370,105.76,0,9,5,143,30,ZIM
MD Shanaka,2015-2024,97.0,89,20,1444,74,20.92,1170,123.41,0,5,10,107,71,SL
MR Marsh,2011-2024,54.0,52,10,1432,92,34.09,1058,135.34,0,9,2,118,66,AUS
II Selemani,2021-2024,63.0,62,4,1426,81,24.58,963,148.07,0,7,6,158,78,TAN
Shahid Afridi,2006-2018,99.0,91,12,1416,54,17.92,944,150.0,0,4,8,103,73,PAK
Soumya Sarkar,2015-2024,83.0,82,4,1398,68,17.92,1135,123.17,0,5,12,141,52,BAN
Asghar Afghan,2010-2021,75.0,68,5,1382,62,21.93,1247,110.82,0,4,5,87,69,AFG
KC Sangakkara,2006-2014,56.0,53,9,1382,78,31.4,1156,119.55,0,8,2,139,20,SL
Rahmanullah Gurbaz,2019-2024,55.0,55,0,1376,100,25.01,997,138.01,1,7,5,107,79,AFG
AD Mathews,2009-2024,87.0,70,21,1354,81,27.63,1125,120.35,0,6,1,90,46,SL
HH Pandya,2016-2023,92.0,71,18,1348,71,25.43,964,139.83,0,3,3,96,69,IND
HT Tector,2019-2024,76.0,70,13,1345,64,23.59,1111,121.06,0,5,4,106,33,IRE
MG Erasmus,2019-2024,57.0,55,14,1339,100,32.65,1089,122.95,1,9,2,101,50,NAM
DP Conway,2020-2024,46.0,42,8,1338,99,39.35,1037,129.02,0,10,1,128,34,NZ
R Powell,2017-2024,71.0,61,11,1312,107,26.24,906,144.81,1,6,2,77,87,WI
BA King,2019-2024,50.0,48,4,1309,85,29.75,970,134.94,0,10,4,136,58,WI
LJ Tucker,2016-2024,71.0,67,8,1295,94,21.94,1038,124.75,0,9,7,126,29,IRE
Zeeshan Maqsood,2015-2024,65.0,54,9,1295,102,28.77,1062,121.93,1,5,4,131,46,OMA
TL Seifert,2018-2024,61.0,58,7,1291,88,25.31,958,134.75,0,9,5,111,58,NZ
HM Amla,2009-2018,44.0,44,6,1277,97,33.6,967,132.05,0,8,2,146,26,World
GC Wilson,2008-2020,81.0,68,8,1268,65,21.13,1212,104.62,0,3,4,108,20,IRE
DJ Mitchell,2019-2024,63.0,60,12,1260,72,26.25,909,138.61,0,7,2,86,48,NZ
DJ Bravo,2006-2021,91.0,74,17,1255,66,22.01,1091,115.03,0,4,5,73,55,WI
A Vala,2015-2024,59.0,56,9,1244,93,26.46,1051,118.36,0,8,0,113,37,PNG
BN Cooper,2013-2021,58.0,55,11,1239,91,28.15,993,124.77,0,9,7,118,38,NED
CS MacLeod,2009-2022,64.0,61,9,1238,74,23.8,1115,111.03,0,7,8,107,23,SCOT
P Nissanka,2021-2024,48.0,47,3,1231,75,27.97,1057,116.46,0,10,4,121,27,SL
IA Karim,2013-2023,58.0,51,16,1227,71,35.05,1213,101.15,0,8,2,108,15,KENYA
RR Patel,2008-2024,67.0,57,14,1220,73,28.37,899,135.7,0,6,2,89,72,KENYA
Riazat Ali Shah,2019-2023,57.0,49,14,1212,98,34.62,933,129.9,0,4,3,85,56,UGA
VP Thamotharam,2020-2024,55.0,53,8,1209,104,26.86,825,146.54,1,7,2,86,73,MLT
NLTC Perera,2010-2021,84.0,74,22,1204,61,23.15,794,151.63,0,3,8,88,64,World
R Satheesan,2019-2023,38.0,36,5,1197,99,38.61,770,155.45,0,9,2,121,61,ROM
RG Mukasa,2019-2024,55.0,53,5,1186,89,24.7,976,121.51,0,5,5,133,36,UGA
O Tuyisenge,2021-2023,71.0,70,4,1181,100,17.89,1128,104.69,1,3,11,123,28,RWN
MH Cross,2013-2024,70.0,59,9,1180,66,23.6,1021,115.57,0,5,5,113,29,SCOT
AR Patwa,2021-2023,47.0,47,4,1178,79,27.39,961,122.58,0,6,3,140,37,TAN
Yuvraj Singh,2007-2017,58.0,51,9,1177,77,28.02,863,136.38,0,8,1,77,74,IND
Aqib Ilyas,2015-2024,48.0,47,7,1176,90,29.4,937,125.5,0,9,3,110,40,OMA
KP Pietersen,2005-2013,37.0,36,5,1176,79,37.93,831,141.51,0,7,1,119,32,ENG
RP Burl,2018-2024,77.0,70,25,1175,57,26.11,1005,116.91,0,2,2,76,49,ZIM
MS Wade,2011-2024,85.0,64,20,1175,80,26.7,872,134.74,0,3,1,92,46,AUS
Meet Bhavsar,2019-2024,48.0,46,5,1171,89,28.56,875,133.82,0,9,4,100,39,KUW
HE van der Dussen,2018-2024,46.0,42,8,1169,94,34.38,899,130.03,0,8,1,70,55,SA
J Charles,2011-2024,51.0,50,0,1162,118,23.24,869,133.71,1,5,5,122,57,WI
MM Ali,2014-2024,84.0,70,17,1158,72,21.84,812,142.61,0,7,9,86,63,ENG
S Davizi,2019-2023,31.0,31,3,1149,115,41.03,827,138.93,3,6,1,124,40,CZK-R
Hazratullah Zazai,2016-2024,43.0,43,3,1138,162,28.45,855,133.09,1,3,3,108,65,AFG
AK Markram,2019-2023,39.0,35,6,1118,70,38.55,742,150.67,0,9,1,98,47,SA
Afif Hossain,2018-2023,69.0,63,9,1109,77,20.53,927,119.63,0,3,6,81,38,BAN
RK Paudel,2019-2024,49.0,47,9,1108,61,29.15,887,124.91,0,6,0,90,34,NEP
FH Allen,2021-2024,43.0,43,0,1106,137,25.72,676,163.6,2,4,2,95,77,NZ
SS Iyer,2017-2023,51.0,47,11,1104,74,30.66,811,136.12,0,8,4,90,44,IND
Jatinder Singh,2015-2024,52.0,52,7,1098,73,24.4,952,115.33,0,5,3,111,21,OMA
SPD Smith,2010-2024,67.0,55,11,1094,90,24.86,872,125.45,0,5,1,96,26,AUS
K Kadowaki-Fleming,2022-2024,27.0,27,2,1089,114,43.56,694,156.91,2,6,0,79,67,JPN
GH Dockrell,2010-2024,136.0,88,33,1085,58,19.72,830,130.72,0,2,8,77,41,IRE
K Bhurtel,2021-2024,43.0,42,4,1081,104,28.44,826,130.87,1,8,5,110,46,NEP
WTS Porterfield,2008-2018,61.0,59,6,1079,72,20.35,971,111.12,0,3,5,120,23,IRE
LD Chandimal,2010-2022,68.0,61,7,1062,66,19.66,1025,103.6,0,6,0,90,22,SL
TH David,2019-2024,39.0,36,9,1062,92,39.33,649,163.63,0,6,3,90,57,SGP
V Aravind,2020-2024,48.0,43,5,1052,97,27.68,936,112.39,0,6,4,105,23,UAE
W Madhevere,2020-2023,60.0,57,7,1047,73,20.94,880,118.97,0,7,5,119,14,ZIM
Anshuman Rath,2015-2024,46.0,45,5,1046,72,26.15,942,111.04,0,4,1,110,13,HKG
Zubaidi Zulkifle,2019-2024,52.0,51,2,1045,96,21.32,702,148.86,0,3,7,106,51,MAS
Aasif Sheikh,2021-2024,44.0,44,2,1023,64,24.35,862,118.67,0,5,3,99,34,NEP
E Dusingizimana,2021-2023,58.0,57,3,1018,66,18.85,950,107.15,0,4,5,103,35,RWN
GJ Delany,2019-2024,72.0,63,14,1016,89,20.73,762,133.33,0,3,3,82,44,IRE
Sarfaraz Ali,2019-2024,47.0,47,3,1015,69,23.06,694,146.25,0,6,4,88,75,BHR
Samiullah Shinwari,2010-2022,65.0,56,10,1013,61,22.02,858,118.06,0,2,2,76,37,AFG
Faisal Khan,2019-2024,38.0,38,5,1012,83,30.66,607,166.72,0,6,4,119,50,KSA
Rohan Mustafa,2014-2023,58.0,53,5,1006,77,20.95,827,121.64,0,4,7,108,27,UAE
CJA Amini,2015-2024,56.0,48,9,994,91,25.48,838,118.61,0,5,6,73,30,PNG
BA Pai,2019-2024,33.0,33,7,993,107,38.19,845,117.51,1,6,1,91,17,GIBR
KIC Asalanka,2021-2024,44.0,44,5,990,80,25.38,786,125.95,0,5,4,68,46,SL
K Motlhanka,2019-2023,39.0,38,4,990,84,29.11,890,111.23,0,7,2,113,19,BOT
Razmal Shigiwal,2019-2023,39.0,35,5,990,95,33.0,725,136.55,0,6,2,81,39,Aut
Kamran Akmal,2006-2017,58.0,53,6,987,73,21.0,825,119.63,0,5,7,100,31,PAK
RR Pant,2017-2022,66.0,56,12,987,65,22.43,781,126.37,0,3,3,86,37,IND
L Bruce,2021-2024,36.0,35,4,985,99,31.77,856,115.07,0,12,4,99,14,GIBR
CL White,2007-2014,47.0,44,14,984,85,32.8,740,132.97,0,5,3,71,44,AUS
GC Smith,2005-2011,33.0,33,2,982,89,31.67,770,127.53,0,5,1,123,26,SA
JW Jenner,2019-2024,41.0,41,8,981,96,29.72,774,126.74,0,5,2,76,36,JER
ADS Fletcher,2008-2024,57.0,54,7,980,84,20.85,873,112.25,0,6,7,67,53,WI
Sabbir Rahman,2014-2022,48.0,47,5,977,80,23.26,819,119.29,0,4,3,92,29,BAN
Iftikhar Ahmed,2016-2024,64.0,53,14,975,62,25.0,750,130.0,0,4,2,63,44,PAK
Shaiman Anwar,2014-2019,32.0,32,3,971,117,33.48,770,126.1,1,6,1,75,43,UAE
S Chandramohan,2019-2024,41.0,41,2,968,100,24.82,799,121.15,1,5,4,94,43,SGP
Abdul Waheed,2020-2024,37.0,34,5,956,99,32.96,753,126.95,0,5,1,108,24,KSA
AD Russell,2011-2024,75.0,65,21,955,71,21.7,584,163.52,0,3,9,55,81,WI
AP Rajeevan,2022-2023,45.0,42,7,943,70,26.94,829,113.75,0,6,0,90,16,TAN
Taranjeet Singh,2021-2024,27.0,27,2,942,110,37.68,548,171.89,1,6,1,115,45,ROM
MP Stoinis,2015-2024,59.0,49,17,940,78,29.37,648,145.06,0,2,2,77,44,AUS
JDS Neesham,2012-2024,77.0,62,21,934,48,22.78,600,155.66,0,0,6,72,50,NZ
BRM Taylor,2006-2021,45.0,45,6,934,75,23.94,790,118.22,0,6,5,93,24,ZIM
G Gambhir,2007-2012,37.0,36,2,932,75,27.41,783,119.02,0,7,2,109,10,IND
SJ Myburgh,2012-2022,45.0,44,2,915,71,21.78,799,114.51,0,5,8,100,28,NED
SO Hetmyer,2018-2023,57.0,48,4,902,81,20.5,763,118.21,0,5,3,59,46,WI
E Chigumbura,2006-2020,57.0,56,9,893,54,19.0,635,140.62,0,3,6,61,53,ZIM
JE Root,2012-2019,32.0,30,5,893,90,35.72,707,126.3,0,5,2,92,16,ENG
S Bau,2016-2024,52.0,44,7,891,65,24.08,796,111.93,0,3,5,66,30,PNG
Muhammad Usman,2016-2022,47.0,43,6,891,89,24.08,778,114.52,0,3,3,73,27,UAE
Haider Butt,2021-2024,50.0,46,11,890,62,25.42,762,116.79,0,2,2,56,38,BHR
G Malla,2014-2022,45.0,39,1,883,107,23.23,734,120.29,1,2,1,76,36,NEP
DM Nakrani,2019-2024,56.0,46,17,881,77,30.37,671,131.29,0,3,1,58,56,UGA
Aizaz Khan,2014-2024,77.0,67,15,877,48,16.86,784,111.86,0,0,6,62,26,HKG
N Nipiko,2019-2024,33.0,33,6,877,100,32.48,744,117.87,1,5,1,67,36,VAN
Ibrahim Zadran,2019-2024,36.0,36,6,874,72,29.13,815,107.23,0,6,0,72,20,AFG
NS Dhaliwal,2019-2024,30.0,29,5,870,69,36.25,663,131.22,0,6,1,66,39,CAN
Sohail Ahmed,2022-2024,28.0,27,10,857,80,50.41,722,118.69,0,7,1,59,33,BHR
