name,span,matches,innings,overs,maiden_overs,runs_conceded,wickets,best_bowling_figure,average,economy_rate,bowling_strike_rate,four_wickets_haul,five_wickets_haul,country
TG Southee,2008-2024,123,120,446.5,6,3635,157,5/18,23.15,8.13,17.0,2,2,NZ
Shakib Al Hasan,2006-2024,122,120,440.1,3,2987,146,5/20,20.45,6.78,18.0,6,2,BAN
Rashid Khan,2015-2024,85,85,324.2,1,1970,138,5/3,14.27,6.07,14.1,5,2,AFG
IS Sodhi,2014-2024,116,111,392.5,0,3142,136,4/28,23.1,7.99,17.3,3,0,NZ
Mustafizur Rahman,2015-2024,96,95,342.4,7,2588,120,6/10,21.56,7.55,17.1,3,2,BAN
MR Adair,2019-2024,83,83,296.4,2,2301,119,4/13,19.33,7.75,14.9,3,0,IRE
MJ Santner,2015-2024,100,98,345.2,2,2457,111,4/11,22.13,7.11,18.6,3,0,NZ
AU Rashid,2009-2024,106,102,372.2,4,2750,110,4/2,25.0,7.38,20.3,2,0,ENG
SL Malinga,2006-2020,84,83,299.5,1,2225,107,5/6,20.79,7.42,16.8,1,2,SL
Shadab Khan,2017-2024,100,94,344.1,3,2484,107,4/8,23.21,7.21,19.2,3,0,PAK
Bilal Khan,2015-2024,75,74,270.5,7,1810,106,4/19,17.07,6.68,15.3,3,0,OMA
PW Hasaranga,2019-2024,65,63,236.4,1,1619,104,4/9,15.56,6.84,13.6,3,0,SL
SO Ngoche,2010-2024,84,82,282.4,12,1706,99,4/14,17.23,6.03,17.1,3,0,KENYA
CJ Jordan,2014-2024,90,89,311.4,2,2713,98,4/6,27.68,8.7,19.0,3,0,ENG
S Lamichhane,2018-2023,52,52,195.5,5,1233,98,5/9,12.58,6.29,11.9,2,1,NEP
Shahid Afridi,2006-2018,99,97,361.2,4,2396,98,4/11,24.44,6.63,22.1,3,0,PAK
YS Chahal,2016-2023,80,79,294.0,2,2409,96,6/25,25.09,8.19,18.3,2,1,IND
Haris Rauf,2020-2024,68,66,246.4,1,2035,95,4/18,21.42,8.25,15.5,3,0,PAK
H Ssenyondo,2019-2024,77,73,254.4,8,1371,94,4/4,14.58,5.38,16.2,7,0,UGA
Mohammad Nabi,2010-2024,121,113,355.4,5,2616,93,4/10,28.12,7.35,22.9,3,0,AFG
A Zampa,2016-2024,80,79,285.5,1,2082,92,5/19,22.63,7.28,18.6,1,1,AUS
Ehsan Khan,2016-2024,67,66,247.0,4,1522,91,4/24,16.72,6.16,16.2,2,0,HKG
Shaheen Shah Afridi,2018-2024,66,66,239.4,2,1853,91,4/22,20.36,7.73,15.8,2,0,PAK
Aizaz Khan,2014-2024,77,74,240.1,4,1860,90,4/26,20.66,7.74,16.0,2,0,HKG
Karan KC,2015-2024,68,68,221.0,6,1729,90,5/21,19.21,7.82,14.7,3,1,NEP
B Kumar,2012-2022,87,86,298.3,10,2079,90,5/4,23.1,6.96,19.9,3,2,IND
Saeed Ajmal,2009-2015,64,63,238.2,2,1516,85,4/19,17.83,6.36,16.8,4,0,PAK
Umar Gul,2007-2016,60,60,200.3,2,1443,85,5/6,16.97,7.19,14.1,4,2,PAK
GH Dockrell,2010-2024,136,93,266.2,1,1905,83,4/20,22.95,7.15,19.2,1,0,IRE
DJ Bravo,2006-2021,91,77,250.5,0,2036,78,4/19,26.1,8.11,19.2,3,0,WI
JB Little,2016-2024,66,65,243.2,2,1814,78,4/23,23.25,7.45,18.7,2,0,IRE
T Shamsi,2017-2023,65,65,234.4,1,1732,78,5/24,22.2,7.38,18.0,2,1,SA
MRJ Watt,2015-2024,63,61,221.1,4,1507,77,5/27,19.57,6.81,17.2,2,1,SCOT
A Bohara,2019-2024,59,56,194.0,2,1420,74,6/11,19.18,7.31,15.7,2,1,NEP
TA Boult,2013-2024,57,57,215.3,2,1720,74,4/13,23.24,7.98,17.4,2,0,NZ
JJ Bumrah,2016-2023,62,61,221.5,10,1455,74,3/11,19.66,6.55,17.9,0,0,IND
MA Starc,2012-2024,60,60,225.0,2,1727,74,4/20,23.33,7.67,18.2,1,0,AUS
K Irakoze,2021-2023,72,70,210.1,5,1354,73,4/20,18.54,6.44,17.2,3,0,RWN
HH Pandya,2016-2023,92,81,238.5,1,1950,73,4/16,26.71,8.16,19.6,3,0,IND
CA Young,2015-2024,64,62,212.2,1,1709,73,4/13,23.41,8.04,17.4,2,0,IRE
R Ashwin,2010-2022,65,65,242.0,3,1672,72,4/8,23.22,6.9,20.1,2,0,IND
Junaid Siddique,2019-2024,55,55,202.5,2,1540,72,4/12,21.38,7.59,16.9,3,0,UAE
SM Sharif,2012-2024,66,65,221.4,1,1778,72,4/24,24.69,8.02,18.4,2,0,SCOT
Zahoor Khan,2017-2023,57,57,206.3,1,1406,72,4/16,19.52,6.8,17.2,2,0,UAE
M Akayezu,2021-2023,69,59,178.0,3,1399,71,4/9,19.7,7.85,15.0,3,0,RWN
D Maisuria,2019-2023,37,35,126.0,4,672,71,5/18,9.46,5.33,10.6,4,2,BOT
Imad Wasim,2015-2024,72,71,245.0,4,1544,70,5/14,22.05,6.3,21.0,1,1,PAK
AR Ramjani,2022-2024,39,38,131.1,7,622,70,4/9,8.88,4.74,11.2,3,0,UGA
PA van Meekeren,2013-2024,61,59,205.1,2,1442,69,4/11,20.89,7.02,17.8,2,0,NED
DM Nakrani,2019-2024,56,53,185.0,8,1040,67,6/7,15.52,5.62,16.5,1,2,UGA
JO Holder,2014-2024,63,60,222.1,2,1906,66,5/27,28.87,8.57,20.1,2,1,WI
KMDN Kulasekara,2008-2017,58,58,205.1,6,1530,66,4/31,23.18,7.45,18.6,2,0,SL
BAW Mendis,2008-2014,39,39,147.3,5,952,66,6/8,14.42,6.45,13.4,3,2,SL
